,prev_pred,regex
10,career_switch_reason,(^(main|reason|switch|team|rely|challenge|assumption|achieve|common|goal|remember|concept|law|rule|beneficial|society|wind|frame|loose|interpretation|society|embody|front|speaker|great|team|eye|impossible|true)(?![\w])|(?<=[\W_])(main|reason|switch|team|rely|challenge|assumption|achieve|common|goal|remember|concept|law|rule|beneficial|society|wind|frame|loose|interpretation|society|embody|front|speaker|great|team|eye|impossible|true)(?![\w])|(?<=[\W_])(main|reason|switch|team|rely|challenge|assumption|achieve|common|goal|remember|concept|law|rule|beneficial|society|wind|frame|loose|interpretation|society|embody|front|speaker|great|team|eye|impossible|true)$|^(main|reason|switch|team|rely|challenge|assumption|achieve|common|goal|remember|concept|law|rule|beneficial|society|wind|frame|loose|interpretation|society|embody|front|speaker|great|team|eye|impossible|true)$)
11,Khaled,"(^(introduce|khal|saudi|citizen|interpret|extensive|research|writer|internet|edit|sell|sample|offline|exchange|percentage|profit|lay|proposal|attach|proof|professional|khal|case|real|assess|integrity|trust|result|publication|href=""https://www.amazon.com|nombre|destino|ebook|b00bl52bak|target=""_blank""><i|nombre|destino|href=""https://www.amazon.de|posibilidad|palpitante|khalid|alsameti|ebook|b00d4c4nwc|target=""_blank""><i|una|posibilidad|palpitante|collaborate|support|possible|step|bump|send|appreciation)(?![\w])|(?<=[\W_])(introduce|khal|saudi|citizen|interpret|extensive|research|writer|internet|edit|sell|sample|offline|exchange|percentage|profit|lay|proposal|attach|proof|professional|khal|case|real|assess|integrity|trust|result|publication|href=""https://www.amazon.com|nombre|destino|ebook|b00bl52bak|target=""_blank""><i|nombre|destino|href=""https://www.amazon.de|posibilidad|palpitante|khalid|alsameti|ebook|b00d4c4nwc|target=""_blank""><i|una|posibilidad|palpitante|collaborate|support|possible|step|bump|send|appreciation)(?![\w])|(?<=[\W_])(introduce|khal|saudi|citizen|interpret|extensive|research|writer|internet|edit|sell|sample|offline|exchange|percentage|profit|lay|proposal|attach|proof|professional|khal|case|real|assess|integrity|trust|result|publication|href=""https://www.amazon.com|nombre|destino|ebook|b00bl52bak|target=""_blank""><i|nombre|destino|href=""https://www.amazon.de|posibilidad|palpitante|khalid|alsameti|ebook|b00d4c4nwc|target=""_blank""><i|una|posibilidad|palpitante|collaborate|support|possible|step|bump|send|appreciation)$|^(introduce|khal|saudi|citizen|interpret|extensive|research|writer|internet|edit|sell|sample|offline|exchange|percentage|profit|lay|proposal|attach|proof|professional|khal|case|real|assess|integrity|trust|result|publication|href=""https://www.amazon.com|nombre|destino|ebook|b00bl52bak|target=""_blank""><i|nombre|destino|href=""https://www.amazon.de|posibilidad|palpitante|khalid|alsameti|ebook|b00d4c4nwc|target=""_blank""><i|una|posibilidad|palpitante|collaborate|support|possible|step|bump|send|appreciation)$)"
12,physical_appearance,(^(brown|claim|blonde|wrong|delusional|use|blonde|child|mat|black|darken|revenge|die|lurid|colour|recognise|real|color|feature)(?![\w])|(?<=[\W_])(brown|claim|blonde|wrong|delusional|use|blonde|child|mat|black|darken|revenge|die|lurid|colour|recognise|real|color|feature)(?![\w])|(?<=[\W_])(brown|claim|blonde|wrong|delusional|use|blonde|child|mat|black|darken|revenge|die|lurid|colour|recognise|real|color|feature)$|^(brown|claim|blonde|wrong|delusional|use|blonde|child|mat|black|darken|revenge|die|lurid|colour|recognise|real|color|feature)$)
13,interests,(^(old|committed|relationship|man|dream|favorite|activity|netflix|chill|engage|side|open|help|redefine|surrounding|idea|job|involve|reasonable|travel)(?![\w])|(?<=[\W_])(old|committed|relationship|man|dream|favorite|activity|netflix|chill|engage|side|open|help|redefine|surrounding|idea|job|involve|reasonable|travel)(?![\w])|(?<=[\W_])(old|committed|relationship|man|dream|favorite|activity|netflix|chill|engage|side|open|help|redefine|surrounding|idea|job|involve|reasonable|travel)$|^(old|committed|relationship|man|dream|favorite|activity|netflix|chill|engage|side|open|help|redefine|surrounding|idea|job|involve|reasonable|travel)$)
14,Jose,(^(saturday|pub|foosball|table|encourage|guide|impressive|curriculum|press|com|jgmorenotorrres/|target|here</a>.|plan|move)(?![\w])|(?<=[\W_])(saturday|pub|foosball|table|encourage|guide|impressive|curriculum|press|com|jgmorenotorrres/|target|here</a>.|plan|move)(?![\w])|(?<=[\W_])(saturday|pub|foosball|table|encourage|guide|impressive|curriculum|press|com|jgmorenotorrres/|target|here</a>.|plan|move)$|^(saturday|pub|foosball|table|encourage|guide|impressive|curriculum|press|com|jgmorenotorrres/|target|here</a>.|plan|move)$)
15,opinion_society,(^(mill|tax|payer|recycling|bump|resemble|tree|belong|garbage|bin|veganism|credence|choice|school|education|course|encourage|climb|specimen|hand|repeat|entire|recycling|basic|tenet|faith|term)(?![\w])|(?<=[\W_])(mill|tax|payer|recycling|bump|resemble|tree|belong|garbage|bin|veganism|credence|choice|school|education|course|encourage|climb|specimen|hand|repeat|entire|recycling|basic|tenet|faith|term)(?![\w])|(?<=[\W_])(mill|tax|payer|recycling|bump|resemble|tree|belong|garbage|bin|veganism|credence|choice|school|education|course|encourage|climb|specimen|hand|repeat|entire|recycling|basic|tenet|faith|term)$|^(mill|tax|payer|recycling|bump|resemble|tree|belong|garbage|bin|veganism|credence|choice|school|education|course|encourage|climb|specimen|hand|repeat|entire|recycling|basic|tenet|faith|term)$)
16,opinion_languages,(^(dangerous|thing|wilderness|lie|object|fear|expose|linguistic|defence|mechanism|shield)(?![\w])|(?<=[\W_])(dangerous|thing|wilderness|lie|object|fear|expose|linguistic|defence|mechanism|shield)(?![\w])|(?<=[\W_])(dangerous|thing|wilderness|lie|object|fear|expose|linguistic|defence|mechanism|shield)$|^(dangerous|thing|wilderness|lie|object|fear|expose|linguistic|defence|mechanism|shield)$)
17,opinion_computer_systems,(^(base|humble|servant|enhance|analytical|reasoning|society|theoretical–'linguistic|framework|direction|creature|grow|thrive|order|prove|beneficial)(?![\w])|(?<=[\W_])(base|humble|servant|enhance|analytical|reasoning|society|theoretical–'linguistic|framework|direction|creature|grow|thrive|order|prove|beneficial)(?![\w])|(?<=[\W_])(base|humble|servant|enhance|analytical|reasoning|society|theoretical–'linguistic|framework|direction|creature|grow|thrive|order|prove|beneficial)$|^(base|humble|servant|enhance|analytical|reasoning|society|theoretical–'linguistic|framework|direction|creature|grow|thrive|order|prove|beneficial)$)
18,opinion_women_in_ML,(^(thing|strike|strive|upps|professional|field|hear|invite|join|lead|field|hear|represent|invest|effort|require|organise|event|undisturbed|peace|female|club|optimisation|orient|philosophy|discipline|espouse|dreamy|inclined|test|boundary|notion|establish|metaphorical|connection|grow|grow|collective|imagination)(?![\w])|(?<=[\W_])(thing|strike|strive|upps|professional|field|hear|invite|join|lead|field|hear|represent|invest|effort|require|organise|event|undisturbed|peace|female|club|optimisation|orient|philosophy|discipline|espouse|dreamy|inclined|test|boundary|notion|establish|metaphorical|connection|grow|grow|collective|imagination)(?![\w])|(?<=[\W_])(thing|strike|strive|upps|professional|field|hear|invite|join|lead|field|hear|represent|invest|effort|require|organise|event|undisturbed|peace|female|club|optimisation|orient|philosophy|discipline|espouse|dreamy|inclined|test|boundary|notion|establish|metaphorical|connection|grow|grow|collective|imagination)$|^(thing|strike|strive|upps|professional|field|hear|invite|join|lead|field|hear|represent|invest|effort|require|organise|event|undisturbed|peace|female|club|optimisation|orient|philosophy|discipline|espouse|dreamy|inclined|test|boundary|notion|establish|metaphorical|connection|grow|grow|collective|imagination)$)
19,hopes_and_dreams_for_the_future,(^(dream|evolve|speed|afford|chance|ontological|framework|category|valuable|enjoy)(?![\w])|(?<=[\W_])(dream|evolve|speed|afford|chance|ontological|framework|category|valuable|enjoy)(?![\w])|(?<=[\W_])(dream|evolve|speed|afford|chance|ontological|framework|category|valuable|enjoy)$|^(dream|evolve|speed|afford|chance|ontological|framework|category|valuable|enjoy)$)
20,differeces_between_languages,(^(life|lose|interest|legitimate|speaker|color|white|significant|rate|evolve|pliability|inner|structure|much|recognition|stone)(?![\w])|(?<=[\W_])(life|lose|interest|legitimate|speaker|color|white|significant|rate|evolve|pliability|inner|structure|much|recognition|stone)(?![\w])|(?<=[\W_])(life|lose|interest|legitimate|speaker|color|white|significant|rate|evolve|pliability|inner|structure|much|recognition|stone)$|^(life|lose|interest|legitimate|speaker|color|white|significant|rate|evolve|pliability|inner|structure|much|recognition|stone)$)
21,arabic,(^(structure|logical|sensible|ask|enabler|today|draft|resist|passing|century|undergo|major|alteration|structure|stiffen|perform|absorb|new|manifestation|cave|ground|break|change|environment|usher|new|technological|era|dialect|distance|enough|tongue|perspective|boundary|pay|price|recognisable|deserve|hold)(?![\w])|(?<=[\W_])(structure|logical|sensible|ask|enabler|today|draft|resist|passing|century|undergo|major|alteration|structure|stiffen|perform|absorb|new|manifestation|cave|ground|break|change|environment|usher|new|technological|era|dialect|distance|enough|tongue|perspective|boundary|pay|price|recognisable|deserve|hold)(?![\w])|(?<=[\W_])(structure|logical|sensible|ask|enabler|today|draft|resist|passing|century|undergo|major|alteration|structure|stiffen|perform|absorb|new|manifestation|cave|ground|break|change|environment|usher|new|technological|era|dialect|distance|enough|tongue|perspective|boundary|pay|price|recognisable|deserve|hold)$|^(structure|logical|sensible|ask|enabler|today|draft|resist|passing|century|undergo|major|alteration|structure|stiffen|perform|absorb|new|manifestation|cave|ground|break|change|environment|usher|new|technological|era|dialect|distance|enough|tongue|perspective|boundary|pay|price|recognisable|deserve|hold)$)
22,expert_opinion_on_specific_topic_words,(^(author|genre|style|aspect|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spoutt|occasion|input|sweet|point)(?![\w])|(?<=[\W_])(author|genre|style|aspect|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spoutt|occasion|input|sweet|point)(?![\w])|(?<=[\W_])(author|genre|style|aspect|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spoutt|occasion|input|sweet|point)$|^(author|genre|style|aspect|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spoutt|occasion|input|sweet|point)$)
23,novel,"(^(novel|href=""http://www.diariosigloxxi.com|texto|diario|mostrar/509910/entrevista|novela|tapia|oregui|revelacion-2016|target|title|book|devise|untranslatable|november|publishing|house|editiorial|purchase|copy|worth|personal|waste|cpu|usage|please|lay|follow|gist|matter|please|anyone)(?![\w])|(?<=[\W_])(novel|href=""http://www.diariosigloxxi.com|texto|diario|mostrar/509910/entrevista|novela|tapia|oregui|revelacion-2016|target|title|book|devise|untranslatable|november|publishing|house|editiorial|purchase|copy|worth|personal|waste|cpu|usage|please|lay|follow|gist|matter|please|anyone)(?![\w])|(?<=[\W_])(novel|href=""http://www.diariosigloxxi.com|texto|diario|mostrar/509910/entrevista|novela|tapia|oregui|revelacion-2016|target|title|book|devise|untranslatable|november|publishing|house|editiorial|purchase|copy|worth|personal|waste|cpu|usage|please|lay|follow|gist|matter|please|anyone)$|^(novel|href=""http://www.diariosigloxxi.com|texto|diario|mostrar/509910/entrevista|novela|tapia|oregui|revelacion-2016|target|title|book|devise|untranslatable|november|publishing|house|editiorial|purchase|copy|worth|personal|waste|cpu|usage|please|lay|follow|gist|matter|please|anyone)$)"
24,customer_care_experience,(^(july|october|customer|care|agent|finnair|employ|arvato|bertelsmann|charge|phone|reply|customer|complaint|unsung|hero|customer|care|agent|steer|ability|whomever)(?![\w])|(?<=[\W_])(july|october|customer|care|agent|finnair|employ|arvato|bertelsmann|charge|phone|reply|customer|complaint|unsung|hero|customer|care|agent|steer|ability|whomever)(?![\w])|(?<=[\W_])(july|october|customer|care|agent|finnair|employ|arvato|bertelsmann|charge|phone|reply|customer|complaint|unsung|hero|customer|care|agent|steer|ability|whomever)$|^(july|october|customer|care|agent|finnair|employ|arvato|bertelsmann|charge|phone|reply|customer|complaint|unsung|hero|customer|care|agent|steer|ability|whomever)$)
25,from_arabic,"(^(translator|khaled|sameti|compilation|href=""http://en.casaarabe.es|target|casa|árabe|institute</a|occasion|omani|embassy|essay|poem|ali|mohamad|publishing|flyer|event|uae|previous|subtitle|youtube|video)(?![\w])|(?<=[\W_])(translator|khaled|sameti|compilation|href=""http://en.casaarabe.es|target|casa|árabe|institute</a|occasion|omani|embassy|essay|poem|ali|mohamad|publishing|flyer|event|uae|previous|subtitle|youtube|video)(?![\w])|(?<=[\W_])(translator|khaled|sameti|compilation|href=""http://en.casaarabe.es|target|casa|árabe|institute</a|occasion|omani|embassy|essay|poem|ali|mohamad|publishing|flyer|event|uae|previous|subtitle|youtube|video)$|^(translator|khaled|sameti|compilation|href=""http://en.casaarabe.es|target|casa|árabe|institute</a|occasion|omani|embassy|essay|poem|ali|mohamad|publishing|flyer|event|uae|previous|subtitle|youtube|video)$)"
26,from_german,"(^(translator|href=""https://www.textra.de|ueber|uns.html|target|receive|assignment|february|january|regular|basis|subtitle|youtube|video)(?![\w])|(?<=[\W_])(translator|href=""https://www.textra.de|ueber|uns.html|target|receive|assignment|february|january|regular|basis|subtitle|youtube|video)(?![\w])|(?<=[\W_])(translator|href=""https://www.textra.de|ueber|uns.html|target|receive|assignment|february|january|regular|basis|subtitle|youtube|video)$|^(translator|href=""https://www.textra.de|ueber|uns.html|target|receive|assignment|february|january|regular|basis|subtitle|youtube|video)$)"
27,translation_advice,(^(forte|rest|expert|professional|matter|front|advise|anyone|trade|flirt|idea|perform|task|heed|layer|meaning|unit|form|message|target|audience|comply|requirement|stringent)(?![\w])|(?<=[\W_])(forte|rest|expert|professional|matter|front|advise|anyone|trade|flirt|idea|perform|task|heed|layer|meaning|unit|form|message|target|audience|comply|requirement|stringent)(?![\w])|(?<=[\W_])(forte|rest|expert|professional|matter|front|advise|anyone|trade|flirt|idea|perform|task|heed|layer|meaning|unit|form|message|target|audience|comply|requirement|stringent)$|^(forte|rest|expert|professional|matter|front|advise|anyone|trade|flirt|idea|perform|task|heed|layer|meaning|unit|form|message|target|audience|comply|requirement|stringent)$)
28,arabianstories,(^(com|target|stories</a|february|platform|author|survive|series|calamity|sweep|home|town|decade|interpret|surprise|outside|sound|plausible|relatable|author|audience|host|contest|gather|site|original|necessary|fund|contest|raise|kickstarter|campaign|moniker|kickstarter|com|projects/1536538274/arabian|thought|perspective|nav_search&result|project&term|arab%20thoughts%20put%20into%20perspective|target|thought|perspective|case|check|fare)(?![\w])|(?<=[\W_])(com|target|stories</a|february|platform|author|survive|series|calamity|sweep|home|town|decade|interpret|surprise|outside|sound|plausible|relatable|author|audience|host|contest|gather|site|original|necessary|fund|contest|raise|kickstarter|campaign|moniker|kickstarter|com|projects/1536538274/arabian|thought|perspective|nav_search&result|project&term|arab%20thoughts%20put%20into%20perspective|target|thought|perspective|case|check|fare)(?![\w])|(?<=[\W_])(com|target|stories</a|february|platform|author|survive|series|calamity|sweep|home|town|decade|interpret|surprise|outside|sound|plausible|relatable|author|audience|host|contest|gather|site|original|necessary|fund|contest|raise|kickstarter|campaign|moniker|kickstarter|com|projects/1536538274/arabian|thought|perspective|nav_search&result|project&term|arab%20thoughts%20put%20into%20perspective|target|thought|perspective|case|check|fare)$|^(com|target|stories</a|february|platform|author|survive|series|calamity|sweep|home|town|decade|interpret|surprise|outside|sound|plausible|relatable|author|audience|host|contest|gather|site|original|necessary|fund|contest|raise|kickstarter|campaign|moniker|kickstarter|com|projects/1536538274/arabian|thought|perspective|nav_search&result|project&term|arab%20thoughts%20put%20into%20perspective|target|thought|perspective|case|check|fare)$)
29,advise_4_linguists_needing_a_change,(^(anyone|contemplate|possibility|similar|switch|advise|heap|patience|remind|verge|throw|towel|goal|matter|seem|beginning)(?![\w])|(?<=[\W_])(anyone|contemplate|possibility|similar|switch|advise|heap|patience|remind|verge|throw|towel|goal|matter|seem|beginning)(?![\w])|(?<=[\W_])(anyone|contemplate|possibility|similar|switch|advise|heap|patience|remind|verge|throw|towel|goal|matter|seem|beginning)$|^(anyone|contemplate|possibility|similar|switch|advise|heap|patience|remind|verge|throw|towel|goal|matter|seem|beginning)$)
30,expert_opinion_on_specific_topic_data,(^(technology|model|development|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spout|occasion|input|stuff|sweet|point)(?![\w])|(?<=[\W_])(technology|model|development|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spout|occasion|input|stuff|sweet|point)(?![\w])|(?<=[\W_])(technology|model|development|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spout|occasion|input|stuff|sweet|point)$|^(technology|model|development|sorry|disappoint|depend|context|allergic|type|platitudinous|wisdom|spout|occasion|input|stuff|sweet|point)$)
31,programming_languages,(^(python|octave|matlab|bash|sql|play|java|javascript|gain|experience|markdown|html|ide|choice|spyd|pycharm|python|intellij|java|rstudio)(?![\w])|(?<=[\W_])(python|octave|matlab|bash|sql|play|java|javascript|gain|experience|markdown|html|ide|choice|spyd|pycharm|python|intellij|java|rstudio)(?![\w])|(?<=[\W_])(python|octave|matlab|bash|sql|play|java|javascript|gain|experience|markdown|html|ide|choice|spyd|pycharm|python|intellij|java|rstudio)$|^(python|octave|matlab|bash|sql|play|java|javascript|gain|experience|markdown|html|ide|choice|spyd|pycharm|python|intellij|java|rstudio)$)
